id,year.prehurr,group,dpAcc,dpSocial,num_obs,sex,ordrank,percentrank,hrs.followed,study.end.date,group.size,DOB,DOD,DOT,Age_entry.days,Age_event.days,days.in.study,Survival,num.partners,top.partner,std.num.partners,iter
1B1,2015,V,0.22972973,0.040540541,74,M,M,52.27272727,4.5,3/1/20,264,11/7/04,NA,NA,4697,5593,896,0,5,1.718543089,1.276595745,1
1B1,2016,V,0.310679612,0.029126214,103,M,M,62.22222222,6,3/1/20,264,11/7/04,NA,NA,4697,5593,896,0,1,0.17175423,0.271186441,1
1B1,2017,V,0.288461538,0.076923077,52,M,M,65.45454545,3.5,3/1/20,264,11/7/04,NA,NA,4697,5593,896,0,0,0,0,1
1C7,2015,KK,0.531914894,0.042553191,94,F,L,40,5.333333333,11/1/18,230,11/23/05,NA,11/7/18,4316,4726,410,0,6,3.833714538,1.13304721,1
1C7,2017,KK,0.476190476,-0.047619048,42,F,L,35.417,1.75,11/1/18,230,11/23/05,NA,11/7/18,4316,4726,410,0,6,1.096271414,1.605633803,1
1.00E+02,2015,KK,0.521276596,0.127659574,94,F,H,88.57142857,5.333333333,11/1/18,230,10/17/06,NA,11/27/18,3988,4398,410,0,3,2.111786631,0.566523605,1
1.00E+02,2017,KK,0.434782609,0.02173913,46,F,H,87.5,1.916666667,11/1/18,230,10/17/06,NA,11/27/18,3988,4398,410,0,7,4.180401566,1.873239437,1
1F2,2016,V,0.276595745,0.021276596,94,M,L,26.66666667,5.333333333,3/1/20,264,11/18/07,NA,NA,3591,4487,896,0,0,0,0,1
1F2,2017,V,0.114754098,0,61,M,L,30.90909091,3.666666667,3/1/20,264,11/18/07,NA,NA,3591,4487,896,0,1,1.3526713,0.484536082,1
1G0,2015,V,0.357142857,-0.014285714,70,F,L,23.684,4.333333333,3/1/20,264,10/18/08,NA,NA,3256,4152,896,0,4,1.921357974,1.021276596,1
1G0,2016,V,0.355769231,0.048076923,104,F,L,28.57142857,6.166666667,3/1/20,264,10/18/08,NA,NA,3256,4152,896,0,3,1.019737012,0.813559322,1
1G0,2017,V,0.2,0.022222222,45,F,L,37.5,3.166666667,3/1/20,264,10/18/08,NA,NA,3256,4152,896,0,1,2.575733626,0.484536082,1
1G1,2015,V,0.272727273,-0.025974026,77,F,M,68.421,4.333333333,3/1/20,264,11/3/08,NA,NA,3240,4136,896,0,7,1.301884223,1.787234043,1
1G1,2016,V,0.281818182,0.009090909,110,F,M,76.19047619,6.166666667,3/1/20,264,11/3/08,NA,NA,3240,4136,896,0,6,1.36487877,1.627118644,1
1G1,2017,V,0.375,0,56,F,M,75,3.666666667,3/1/20,264,11/3/08,NA,NA,3240,4136,896,0,3,1.101872062,1.453608247,1
1G4,2015,V,0.260273973,-0.054794521,73,F,L,2.632,4.5,3/1/20,264,9/16/08,NA,NA,3288,4184,896,0,2,5.024788505,0.510638298,1
1G4,2016,V,0.4,0.05,100,F,L,4.761904762,6.166666667,3/1/20,264,9/16/08,NA,NA,3288,4184,896,0,4,3.998056792,1.084745763,1
1G4,2017,V,0.280701754,0.01754386,57,F,L,0,3.666666667,3/1/20,264,9/16/08,NA,NA,3288,4184,896,0,3,1.716385349,1.453608247,1
1G6,2015,V,0.361111111,-0.069444444,72,F,M,52.632,4.666666667,3/1/20,264,10/2/08,9/5/18,NA,3272,3625,353,1,3,0.712075687,0.765957447,1
1G6,2016,V,0.2,0.031578947,95,F,M,57.14285714,6.166666667,3/1/20,264,10/2/08,9/5/18,NA,3272,3625,353,1,4,1.405668251,1.084745763,1
1G6,2017,V,0.403508772,-0.035087719,57,F,M,58.33333333,3.5,3/1/20,264,10/2/08,9/5/18,NA,3272,3625,353,1,3,1.675519031,1.453608247,1
1I5,2016,V,0.288461538,-0.028846154,104,F,L,26.19047619,6.166666667,3/1/20,264,9/22/09,NA,NA,2917,3813,896,0,3,1.656680438,0.813559322,1
1I5,2017,V,0.203389831,0.13559322,59,F,L,35.41666667,3.666666667,3/1/20,264,9/22/09,NA,NA,2917,3813,896,0,1,0.818181121,0.484536082,1
1I6,2016,V,0.303030303,0.050505051,99,F,L,0,6.166666667,3/1/20,264,11/9/09,NA,NA,2869,3765,896,0,3,1.786544382,0.813559322,1
1I6,2017,V,0.224137931,0.086206897,58,F,L,8.333333333,3.666666667,3/1/20,264,11/9/09,NA,NA,2869,3765,896,0,4,0.929190619,1.93814433,1
1I7,2016,V,0.42,0,100,F,M,52.38095238,6.166666667,3/1/20,264,9/12/09,NA,NA,2927,3823,896,0,5,2.28734856,1.355932203,1
1I7,2017,V,0.346938776,0.06122449,49,F,M,66.66666667,3.666666667,3/1/20,264,9/12/09,NA,NA,2927,3823,896,0,1,0.124910159,0.484536082,1
1K1,2016,V,0.308411215,0.065420561,107,F,H,92.85714286,6.166666667,3/1/20,264,10/7/09,NA,NA,2902,3798,896,0,5,0.747448963,1.355932203,1
1K1,2017,V,0.290322581,0.032258065,62,F,H,89.58333333,3.666666667,3/1/20,264,10/7/09,NA,NA,2902,3798,896,0,2,2.195521198,0.969072165,1
1K2,2016,V,0.317307692,-0.009615385,104,F,L,23.80952381,6.166666667,3/1/20,264,10/27/09,10/2/18,NA,2882,3262,380,1,6,3.517308279,1.627118644,1
1K2,2017,V,0.436363636,0.018181818,55,F,L,25,3.666666667,3/1/20,264,10/27/09,10/2/18,NA,2882,3262,380,1,4,1.410231781,1.93814433,1
1L1,2017,KK,0.568181818,-0.045454545,44,F,L,0,1.833333333,11/1/18,230,9/26/10,NA,11/27/18,2548,2958,410,0,5,2.192542829,1.338028169,1
1M8,2017,KK,0.5,0,20,M,L,41.66666667,0.833333333,11/1/18,230,10/4/11,NA,12/4/18,2175,2585,410,0,2,1.158601227,0.535211268,1
24V,2015,KK,0.56,0.05,100,F,H,94.28571429,5.666666667,11/1/18,230,12/9/03,3/4/19,NA,5031,5441,410,0,6,4.411736959,1.13304721,1
24V,2017,KK,0.354166667,-0.104166667,48,F,H,93.75,2,11/1/18,230,12/9/03,3/4/19,NA,5031,5441,410,0,8,2.649302215,2.14084507,1
27J,2015,KK,0.589285714,0.035714286,56,M,M,75,5.666666667,11/1/18,230,12/28/97,5/30/18,NA,7203,7458,255,1,4,3.414657837,0.755364807,1
27J,2017,KK,0.6,-0.1,20,M,H,83.33333333,1.75,11/1/18,230,12/28/97,5/30/18,NA,7203,7458,255,1,3,1.986080416,0.802816901,1
27N,2015,KK,0.73,0.11,100,M,H,85,5.666666667,11/1/18,230,1/29/00,12/22/18,NA,6441,6851,410,0,6,2.916299431,1.13304721,1
27N,2017,KK,0.522727273,0.136363636,44,M,H,87.5,1.833333333,11/1/18,230,1/29/00,12/22/18,NA,6441,6851,410,0,7,1.507373195,1.873239437,1
2C3,2015,KK,0.589473684,0.073684211,95,F,H,82.85714286,5.333333333,11/1/18,230,11/10/05,NA,NA,4329,4739,410,0,7,1.913664878,1.321888412,1
2C3,2017,KK,0.425,0.025,40,F,H,85.417,1.666666667,11/1/18,230,11/10/05,NA,NA,4329,4739,410,0,3,1.238553701,0.802816901,1
2C4,2015,KK,0.631578947,0.063157895,95,F,M,54.28571429,5.333333333,11/1/18,230,11/6/05,NA,12/18/18,4333,4743,410,0,4,1.480763943,0.755364807,1
2C4,2017,KK,0.5,0.130434783,46,F,M,54.167,1.916666667,11/1/18,230,11/6/05,NA,12/18/18,4333,4743,410,0,5,0.901311411,1.338028169,1
2D0,2017,V,0.259259259,0.074074074,27,M,L,41.81818182,1.5,3/1/20,264,10/23/06,NA,NA,3982,4878,896,0,0,0,0,1
2.00E+04,2015,V,0.297297297,-0.054054054,74,F,H,89.474,4.333333333,3/1/20,264,10/1/06,NA,NA,4004,4900,896,0,8,4.015899884,2.042553191,1
2.00E+04,2016,V,0.345794393,0.018691589,107,F,H,95.23809524,6.333333333,3/1/20,264,10/1/06,NA,NA,4004,4900,896,0,6,2.269233847,1.627118644,1
2.00E+04,2017,V,0.322580645,0.016129032,62,F,H,85.41666667,3.833333333,3/1/20,264,10/1/06,NA,NA,4004,4900,896,0,4,1.744851811,1.93814433,1
2F2,2015,KK,0.525773196,0.030927835,97,F,L,22.85714286,5.5,11/1/18,230,11/19/07,NA,12/4/18,3590,4000,410,0,5,1.107691855,0.944206009,1
2F2,2017,KK,0.295454545,-0.022727273,44,F,L,39.583,1.833333333,11/1/18,230,11/19/07,NA,12/4/18,3590,4000,410,0,3,1.099937874,0.802816901,1
2G2,2015,V,0.373333333,0,75,F,L,34.211,4.5,3/1/20,264,10/20/08,NA,NA,3254,4150,896,0,5,1.247974647,1.276595745,1
2G2,2016,V,0.460784314,0.049019608,102,F,L,38.0952381,6.166666667,3/1/20,264,10/20/08,NA,NA,3254,4150,896,0,4,1.374291727,1.084745763,1
2G2,2017,V,0.363636364,0.018181818,55,F,L,39.58333333,3.5,3/1/20,264,10/20/08,NA,NA,3254,4150,896,0,2,2.524247,0.969072165,1
2G3,2015,V,0.328571429,-0.057142857,70,F,L,28.947,4.333333333,3/1/20,264,11/4/08,NA,NA,3239,4135,896,0,3,4.281926756,0.765957447,1
2G3,2016,V,0.278350515,0.06185567,97,F,L,33.33333333,6.166666667,3/1/20,264,11/4/08,NA,NA,3239,4135,896,0,3,0.61386234,0.813559322,1
2G3,2017,V,0.322033898,0.06779661,59,F,L,31.25,3.666666667,3/1/20,264,11/4/08,NA,NA,3239,4135,896,0,2,3.186383761,0.969072165,1
2G4,2015,V,0.329411765,-0.011764706,85,F,M,73.684,4.833333333,3/1/20,264,12/3/08,10/24/18,NA,3210,3612,402,1,9,2.949876498,2.29787234,1
2G4,2016,V,0.37,0.07,100,F,H,80.95238095,6.166666667,3/1/20,264,12/3/08,10/24/18,NA,3210,3612,402,1,6,1.587652087,1.627118644,1
2G4,2017,V,0.428571429,0.12244898,49,F,M,79.16666667,3.5,3/1/20,264,12/3/08,10/24/18,NA,3210,3612,402,1,4,1.093840367,1.93814433,1
2I3,2016,V,0.40952381,0.038095238,105,F,M,59.52380952,6.166666667,3/1/20,264,9/27/09,NA,NA,2912,3808,896,0,4,1.886115893,1.084745763,1
2I3,2017,V,0.472727273,0.054545455,55,F,M,60.41666667,3.5,3/1/20,264,9/27/09,NA,NA,2912,3808,896,0,3,1.675519031,1.453608247,1
2J7,2017,KK,0.622222222,-0.155555556,45,F,H,89.583,1.916666667,11/1/18,230,9/7/09,11/1/18,NA,2932,3342,410,1,9,3.428139707,2.408450704,1
2K1,2017,V,0.315789474,-0.01754386,57,F,L,4.166666667,3.166666667,3/1/20,264,12/8/10,NA,NA,2475,3371,896,0,2,4.066041041,0.969072165,1
2K3,2017,V,0.224137931,0,58,M,H,87.27272727,3.666666667,3/1/20,264,9/29/10,NA,NA,2545,3441,896,0,2,1.884771094,0.969072165,1
2K5,2017,V,0.377358491,0.018867925,53,M,H,89.09090909,3.5,3/1/20,264,12/4/10,NA,NA,2479,3375,896,0,2,1.451442025,0.969072165,1
2M4,2017,KK,0.2,0,20,M,L,37.5,0.833333333,11/1/18,230,10/4/11,NA,12/12/18,2175,2585,410,0,1,1.12926955,0.267605634,1
32Z,2015,V,0.164705882,0.082352941,85,M,M,68.18181818,4.833333333,3/1/20,264,2/14/04,NA,NA,4964,5860,896,0,4,1.789348954,1.021276596,1
32Z,2016,V,0.268817204,0.075268817,93,M,M,71.11111111,6,3/1/20,264,2/14/04,NA,NA,4964,5860,896,0,4,1.886115893,1.084745763,1
32Z,2017,V,0.327272727,0.018181818,55,M,M,74.54545455,3.666666667,3/1/20,264,2/14/04,NA,NA,4964,5860,896,0,3,2.524247,1.453608247,1
33T,2015,V,0.356164384,0.068493151,73,M,M,75,4.5,3/1/20,264,12/7/02,NA,NA,5398,6294,896,0,4,1.299321459,1.021276596,1
33T,2016,V,0.463917526,0.020618557,97,M,M,77.77777778,6,3/1/20,264,12/7/02,NA,NA,5398,6294,896,0,5,1.192737706,1.355932203,1
33T,2017,V,0.462962963,0.074074074,54,M,M,78.18181818,3.666666667,3/1/20,264,12/7/02,NA,NA,5398,6294,896,0,2,1.720695039,0.969072165,1
36V,2016,V,0.205128205,0.051282051,78,M,L,20,4.333333333,3/1/20,264,9/27/03,NA,NA,5104,6000,896,0,0,0,0,1
36V,2017,V,0.155172414,-0.017241379,58,M,L,20,3.666666667,3/1/20,264,9/27/03,NA,NA,5104,6000,896,0,2,2.068065847,0.969072165,1
37V,2015,KK,0.551020408,0.142857143,98,F,L,37.14285714,5.5,11/1/18,230,11/15/03,NA,12/11/18,5055,5465,410,0,7,1.746332989,1.321888412,1
37V,2017,KK,0.282608696,-0.065217391,46,F,L,31.25,1.916666667,11/1/18,230,11/15/03,NA,12/11/18,5055,5465,410,0,7,2.097214879,1.873239437,1
3B9,2016,V,0.163265306,0.040816327,98,M,M,51.11111111,6.333333333,3/1/20,264,10/24/05,NA,NA,4346,5242,896,0,0,0,0,1
3D9,2015,V,0.214285714,0.085714286,70,F,L,10.526,4.333333333,3/1/20,264,1/5/07,NA,NA,3908,4804,896,0,2,2.280860154,0.510638298,1
3D9,2016,V,0.275510204,0.020408163,98,F,L,11.9047619,6.166666667,3/1/20,264,1/5/07,NA,NA,3908,4804,896,0,4,4.116599877,1.084745763,1
3D9,2017,V,0.225806452,-0.048387097,62,F,L,12.5,3.833333333,3/1/20,264,1/5/07,NA,NA,3908,4804,896,0,2,0.932662521,0.969072165,1
3F5,2015,KK,0.653061224,0.132653061,98,F,L,45.71428571,5.5,11/1/18,230,12/8/07,NA,11/29/18,3571,3981,410,0,5,1.597785734,0.944206009,1
3F5,2017,KK,0.545454545,0.045454545,44,F,L,43.75,1.833333333,11/1/18,230,12/8/07,NA,11/29/18,3571,3981,410,0,6,0.850618622,1.605633803,1
3F7,2015,KK,0.649484536,0.041237113,97,F,M,62.85714286,5.5,11/1/18,230,10/1/07,NA,11/28/18,3639,4049,410,0,8,1.745212348,1.510729614,1
3F7,2017,KK,0.456521739,0.065217391,46,F,M,60.417,1.916666667,11/1/18,230,10/1/07,NA,11/28/18,3639,4049,410,0,2,1.461695219,0.535211268,1
3H0,2015,V,0.327868852,-0.016393443,61,F,L,18.421,4.333333333,3/1/20,264,11/17/08,NA,NA,3226,4122,896,0,8,2.857482103,2.042553191,1
3H0,2016,V,0.504854369,0,103,F,L,19.04761905,6.166666667,3/1/20,264,11/17/08,NA,NA,3226,4122,896,0,5,3.018421556,1.355932203,1
3H0,2017,V,0.50877193,0,57,F,L,20.83333333,3.833333333,3/1/20,264,11/17/08,NA,NA,3226,4122,896,0,2,3.139695815,0.969072165,1
3I5,2016,V,0.15,0.05,60,M,L,17.77777778,3.333333333,3/1/20,264,10/3/09,NA,NA,2906,3802,896,0,0,0,0,1
3I5,2017,V,0.111111111,0.018518519,54,M,L,5.454545455,3.5,3/1/20,264,10/3/09,NA,NA,2906,3802,896,0,1,0.542713105,0.484536082,1
3I9,2016,V,0.111111111,-0.011111111,90,M,L,40,6,3/1/20,264,10/16/09,NA,NA,2893,3789,896,0,4,1.564871871,1.084745763,1
3I9,2017,V,0.211538462,0.038461538,52,M,M,60,3.666666667,3/1/20,264,10/16/09,NA,NA,2893,3789,896,0,3,1.957056349,1.453608247,1
3J7,2016,V,0.234375,0.03125,64,M,M,73.33333333,6,3/1/20,264,11/6/09,7/3/18,NA,2872,3161,289,1,3,0.305340853,0.813559322,1
3J7,2017,V,0.25,0.068181818,44,M,M,72.72727273,3.666666667,3/1/20,264,11/6/09,7/3/18,NA,2872,3161,289,1,3,3.186383761,1.453608247,1
3M3,2017,KK,0.5,-0.05,20,M,L,33.33333333,0.833333333,11/1/18,230,9/26/11,NA,12/11/18,2183,2593,410,0,1,0.801579726,0.267605634,1
44V,2015,KK,0.288659794,0,97,F,L,17.14285714,5.5,11/1/18,230,2/13/04,NA,11/27/18,4965,5375,410,0,7,3.713556867,1.321888412,1
44V,2017,KK,0.260869565,-0.086956522,46,F,L,37.5,1.916666667,11/1/18,230,2/13/04,NA,11/27/18,4965,5375,410,0,6,1.869463037,1.605633803,1
45Z,2015,V,0.345238095,0,84,F,L,42.105,4.833333333,3/1/20,264,11/12/04,NA,NA,4692,5588,896,0,6,0.759927032,1.531914894,1
45Z,2016,V,0.411214953,0.065420561,107,F,L,45.23809524,6.5,3/1/20,264,11/12/04,NA,NA,4692,5588,896,0,2,5.814069795,0.542372881,1
45Z,2017,V,0.436363636,0.054545455,55,F,L,27.08333333,3.5,3/1/20,264,11/12/04,NA,NA,4692,5588,896,0,0,0,0,1
46Z,2015,KK,0.734693878,0.081632653,98,M,M,65,5.5,11/1/18,230,12/28/04,NA,12/18/18,4646,5056,410,0,2,1.820611406,0.377682403,1
46Z,2017,KK,0.630434783,-0.043478261,46,M,M,75,1.916666667,11/1/18,230,12/28/04,NA,12/18/18,4646,5056,410,0,3,1.107759654,0.802816901,1
49V,2015,KK,0.673469388,0.051020408,98,F,L,5.714285714,5.5,11/1/18,230,11/15/03,NA,11/28/18,5055,5465,410,0,9,3.032206841,1.699570815,1
49V,2017,KK,0.326086957,-0.02173913,46,F,L,10.417,1.916666667,11/1/18,230,11/15/03,NA,11/28/18,5055,5465,410,0,6,2.791610442,1.605633803,1
4C5,2015,V,0.315068493,-0.02739726,73,F,L,13.158,4.5,3/1/20,264,12/14/05,NA,NA,4295,5191,896,0,3,2.908690792,0.765957447,1
4C5,2016,V,0.313131313,0.101010101,99,F,L,14.28571429,6.166666667,3/1/20,264,12/14/05,NA,NA,4295,5191,896,0,5,0.564777422,1.355932203,1
4C5,2017,V,0.267857143,0.071428571,56,F,L,16.66666667,3.833333333,3/1/20,264,12/14/05,NA,NA,4295,5191,896,0,4,0.759011806,1.93814433,1
4C9,2015,V,0.226666667,0.04,75,F,L,26.316,4.333333333,3/1/20,264,11/20/05,6/13/19,NA,4319,4953,634,1,5,1.134249293,1.276595745,1
4C9,2016,V,0.224489796,0.051020408,98,F,L,30.95238095,6.166666667,3/1/20,264,11/20/05,6/13/19,NA,4319,4953,634,1,2,2.14772303,0.542372881,1
4C9,2017,V,0.301587302,0.031746032,63,F,L,29.16666667,3.666666667,3/1/20,264,11/20/05,6/13/19,NA,4319,4953,634,1,4,2.658873507,1.93814433,1
4D8,2015,KK,0.704081633,0.010204082,98,F,M,74.28571429,5.5,11/1/18,230,9/29/06,NA,12/4/18,4006,4416,410,0,6,1.86474744,1.13304721,1
4D8,2017,KK,0.543478261,-0.195652174,46,F,M,79.167,1.916666667,11/1/18,230,9/29/06,NA,12/4/18,4006,4416,410,0,3,2.199875748,0.802816901,1
4.00E+02,2015,V,0.378378378,-0.013513514,74,M,M,65.90909091,4.5,3/1/20,264,10/16/07,NA,NA,3624,4520,896,0,9,2.720785227,2.29787234,1
4.00E+02,2016,V,0.39,0.05,100,M,M,68.88888889,6.166666667,3/1/20,264,10/16/07,NA,NA,3624,4520,896,0,4,4.116599877,1.084745763,1
4.00E+02,2017,V,0.456140351,-0.01754386,57,M,M,70.90909091,3.666666667,3/1/20,264,10/16/07,NA,NA,3624,4520,896,0,2,3.139695815,0.969072165,1
4F1,2015,KK,0.505376344,0.086021505,93,F,H,80,5.166666667,11/1/18,230,10/16/07,NA,12/4/18,3624,4034,410,0,6,3.414657837,1.13304721,1
4F1,2017,KK,0.372093023,0.069767442,43,F,H,83.333,1.833333333,11/1/18,230,10/16/07,NA,12/4/18,3624,4034,410,0,6,1.466583832,1.605633803,1
4G8,2015,V,0.114285714,0.014285714,70,M,L,22.72727273,4.166666667,3/1/20,264,10/10/08,NA,NA,3264,4160,896,0,2,0.719624192,0.510638298,1
4G8,2016,V,0.116504854,0.038834951,103,M,L,46.66666667,6.333333333,3/1/20,264,10/10/08,NA,NA,3264,4160,896,0,0,0,0,1
4G8,2017,V,0.107142857,0.035714286,56,M,M,58.18181818,3.5,3/1/20,264,10/10/08,NA,NA,3264,4160,896,0,2,0.664718377,0.969072165,1
4J4,2016,V,0.303030303,0,99,F,L,40.47619048,6.166666667,3/1/20,264,9/21/09,NA,NA,2918,3814,896,0,6,8.91093266,1.627118644,1
4J4,2017,V,0.333333333,0.083333333,60,F,L,43.75,3.666666667,3/1/20,264,9/21/09,NA,NA,2918,3814,896,0,2,2.890262815,0.969072165,1
4K7,2017,V,0.132075472,0.018867925,53,M,M,52.72727273,3.666666667,3/1/20,264,10/31/10,NA,NA,2513,3409,896,0,1,0.804019415,0.484536082,1
4M9,2017,KK,0.6,-0.1,20,F,L,33.333,0.833333333,11/1/18,230,9/21/11,NA,12/4/18,2188,2598,410,0,3,1.507373195,0.802816901,1
51V,2015,KK,0.5,0.010869565,92,F,L,34.28571429,5.333333333,11/1/18,230,10/29/03,NA,12/5/18,5072,5482,410,0,12,1.306794409,2.266094421,1
51V,2017,KK,0.295454545,-0.090909091,44,F,L,18.75,1.833333333,11/1/18,230,10/29/03,NA,12/5/18,5072,5482,410,0,6,6.958940282,1.605633803,1
51Z,2015,V,0.363636364,-0.077922078,77,F,L,0,4.5,3/1/20,264,11/1/04,NA,NA,4703,5599,896,0,3,1.875943408,0.765957447,1
51Z,2016,V,0.327272727,0,110,F,L,2.380952381,6.333333333,3/1/20,264,11/1/04,NA,NA,4703,5599,896,0,7,1.064961041,1.898305085,1
51Z,2017,V,0.216666667,0.016666667,60,F,L,10.41666667,3.5,3/1/20,264,11/1/04,NA,NA,4703,5599,896,0,3,1.675519031,1.453608247,1
52Z,2015,V,0.2625,0.0375,80,F,M,55.263,4.666666667,3/1/20,264,10/24/04,NA,NA,4711,5607,896,0,4,1.288278275,1.021276596,1
52Z,2016,V,0.386138614,0,101,F,M,61.9047619,6.333333333,3/1/20,264,10/24/04,NA,NA,4711,5607,896,0,4,1.842011103,1.084745763,1
52Z,2017,V,0.290909091,0.036363636,55,F,M,62.5,3.666666667,3/1/20,264,10/24/04,NA,NA,4711,5607,896,0,3,0.601612202,1.453608247,1
53Z,2015,V,0.28,0.053333333,75,F,M,71.053,4.5,3/1/20,264,11/1/04,10/2/18,NA,4703,5083,380,1,3,1.475328444,0.765957447,1
53Z,2016,V,0.287128713,0.04950495,101,F,M,78.57142857,6.333333333,3/1/20,264,11/1/04,10/2/18,NA,4703,5083,380,1,3,0.530263246,0.813559322,1
53Z,2017,V,0.421052632,0.070175439,57,F,M,77.08333333,3.5,3/1/20,264,11/1/04,10/2/18,NA,4703,5083,380,1,2,0.938979817,0.969072165,1
