AnimalID	DOB	Death	Removal.Date	Sex	Maternal.ID	Matriline	DamGen	SireGen	Natal.Group	Status	Birth.Season	Idcode
S007	1/1/57	NA	12/2/68	MALE	119	119	NA	NA	U	REMOVE	1957	NA
FG	2/21/64	NA	12/2/68	MALE	AS	090	NA	NA	C	REMOVE	1964	NA
4I	3/11/67	NA	12/2/68	FEMALE	AT63	AT	NA	NA	C	REMOVE	1967	NA
4Y	1/27/67	NA	12/2/68	FEMALE	AW	AW	NA	NA	C	REMOVE	1967	NA
I68AW	2/26/68	NA	12/2/68	FEMALE	AW	AW	NA	NA	C	REMOVE	1968	NA
YP	3/11/63	NA	12/2/68	FEMALE	BX	EW	NA	NA	C	REMOVE	1963	NA
I4	4/14/65	NA	12/2/68	FEMALE	BX	EW	NA	NA	C	REMOVE	1965	NA
4K	3/17/67	NA	12/2/68	FEMALE	CH	AE	NA	NA	C	REMOVE	1967	NA
4L	3/4/67	NA	12/2/68	MALE	DA	DA	NA	NA	C	REMOVE	1967	NA
3X	1/24/67	NA	12/2/68	FEMALE	EW	EW	NA	NA	C	REMOVE	1967	NA
GG	2/8/64	NA	12/2/68	FEMALE	HD	CD	NA	NA	C	REMOVE	1964	NA
1V	2/10/67	NA	12/2/68	MALE	HD	CD	NA	NA	C	REMOVE	1967	NA
XL	2/25/63	NA	12/2/68	MALE	HP	031	NA	NA	A	REMOVE	1963	NA
1S	2/9/67	NA	12/2/68	MALE	IE	EW	NA	NA	C	REMOVE	1967	NA
1F	3/7/67	NA	12/2/68	MALE	IJ	AE	NA	NA	C	REMOVE	1967	NA
1G	2/28/67	NA	12/2/68	FEMALE	JK	CD	NA	NA	C	REMOVE	1967	NA
1N	2/2/67	NA	12/2/68	FEMALE	KS	051	NA	NA	C	REMOVE	1967	NA
L3	2/23/65	NA	12/2/68	FEMALE	KW	PF	NA	NA	C	REMOVE	1965	NA
GE	4/1/64	NA	12/2/68	FEMALE	ND	059	NA	NA	C	REMOVE	1964	NA
1U	3/6/67	NA	12/2/68	MALE	ND	059	NA	NA	C	REMOVE	1967	NA
L8	4/3/64	NA	12/2/68	MALE	NH	AT	NA	NA	C	REMOVE	1964	NA
GD	2/3/64	NA	12/2/68	MALE	R	090	NA	NA	A	REMOVE	1964	NA
HO	3/23/60	NA	12/2/68	MALE	R003	22	NA	NA	A	REMOVE	1960	NA
1L	3/31/67	NA	12/2/68	MALE	S002	A48	NA	NA	C	REMOVE	1967	NA
4P	3/31/67	NA	12/2/68	MALE	S002	A48	NA	NA	C	REMOVE	1967	NA
Y4	4/11/67	NA	12/2/68	FEMALE	TL	003	NA	NA	C	REMOVE	1967	NA
W7	3/25/66	NA	12/2/68	MALE	TX	074	NA	NA	C	REMOVE	1966	NA
1X	2/23/67	NA	12/2/68	MALE	TY	CD	NA	NA	C	REMOVE	1967	NA
W2	3/3/66	NA	12/2/68	FEMALE	TZ	038	NA	NA	C	REMOVE	1966	NA
3B	4/27/67	NA	12/2/68	MALE	UB	AW	NA	NA	C	REMOVE	1967	NA
W8	4/26/66	NA	12/2/68	FEMALE	UL	029	NA	NA	C	REMOVE	1966	NA
R3	3/15/66	NA	12/2/68	FEMALE	US	PF	NA	NA	C	REMOVE	1966	NA
Y3	3/16/67	NA	12/2/68	FEMALE	US	PF	NA	NA	C	REMOVE	1967	NA
5B	3/9/67	NA	12/2/68	MALE	YP	EW	NA	NA	C	REMOVE	1967	NA
I68YP	3/30/68	NA	12/2/68	MALE	YP	EW	NA	NA	C	REMOVE	1968	NA
AW	1/1/54	NA	12/2/68	FEMALE	NA	AW	NA	NA	U	REMOVE	1952	NA
098	1/1/56	NA	12/2/68	MALE	NA	098	NA	NA	U	REMOVE	1956	NA
F2	3/10/65	NA	12/7/68	MALE	LV	069	NA	NA	A	REMOVE	1965	NA
I68003	3/25/68	NA	12/9/68	MALE	003	003	NA	NA	C	REMOVE	1968	NA
KP	5/5/59	NA	12/9/68	MALE	105	105	NA	NA	U	REMOVE	1959	NA
EL	5/22/59	NA	12/9/68	FEMALE	112	112	NA	NA	U	REMOVE	1959	NA
UY	4/26/62	NA	12/9/68	MALE	120	120	NA	NA	A	REMOVE	1962	NA
CH	1/1/58	NA	12/9/68	FEMALE	AE	AE	NA	NA	U	REMOVE	1958	NA
FU	3/4/64	NA	12/9/68	MALE	BJ	AT	NA	NA	C	REMOVE	1964	NA
H1	3/18/65	NA	12/9/68	FEMALE	BJ	AT	NA	NA	C	REMOVE	1965	NA
I68BX	5/16/68	NA	12/9/68	MALE	BX	EW	NA	NA	C	REMOVE	1968	NA
I68CH	4/19/68	NA	12/9/68	MALE	CH	AE	NA	NA	C	REMOVE	1968	NA
NY	5/9/62	NA	12/9/68	MALE	CU	CU	NA	NA	I	REMOVE	1962	NA
IE	2/25/60	NA	12/9/68	FEMALE	EW	EW	NA	NA	C	REMOVE	1960	NA
I68FQ	3/8/68	NA	12/9/68	MALE	FQ	038	NA	NA	C	REMOVE	1968	NA
B5	2/24/65	NA	12/9/68	MALE	HD	CD	NA	NA	C	REMOVE	1965	NA
XT	2/8/63	NA	12/9/68	MALE	HJ	041	NA	NA	A	REMOVE	1963	NA
I68IE	3/1/68	NA	12/9/68	FEMALE	IE	EW	NA	NA	C	REMOVE	1968	NA
I68J3	4/10/68	NA	12/9/68	MALE	J3	AT	NA	NA	C	REMOVE	1968	NA
D3	3/12/65	NA	12/9/68	MALE	KK	055	NA	NA	C	REMOVE	1965	NA
I65KS	3/14/65	NA	12/9/68	MALE	KS	051	NA	NA	C	REMOVE	1965	NA
I68KS	2/29/68	NA	12/9/68	MALE	KS	051	NA	NA	C	REMOVE	1968	NA
4N	2/22/67	NA	12/9/68	MALE	L	105	NA	NA	C	REMOVE	1967	NA
F6	2/27/65	NA	12/9/68	FEMALE	LM	094	NA	NA	C	REMOVE	1965	NA
I68ND	3/5/68	NA	12/9/68	MALE	ND	059	NA	NA	C	REMOVE	1968	NA
5C	3/23/67	NA	12/9/68	FEMALE	NF	DA	NA	NA	C	REMOVE	1967	NA
I68NF	4/10/68	NA	12/9/68	MALE	NF	DA	NA	NA	C	REMOVE	1968	NA
J5	3/18/65	NA	12/9/68	FEMALE	NI	112	NA	NA	C	REMOVE	1965	NA
I68NI	3/19/68	NA	12/9/68	MALE	NI	112	NA	NA	C	REMOVE	1968	NA
I68OI	3/5/68	NA	12/9/68	MALE	OI	117	NA	NA	C	REMOVE	1968	NA
ZG	1/22/64	NA	12/9/68	FEMALE	R005	060	NA	NA	C	REMOVE	1964	NA
YX	7/11/63	NA	12/9/68	FEMALE	S002	A48	NA	NA	C	REMOVE	1963	NA
