AnimalID,Sex,Group,DOB,Age,mother_id,mother_rk,Rank_ord,mother_social,Survival,DOD,Age_Cat,Time,Age_entry,Age_event,Group_size,no_females,Maternal_social,Social_ord
I1860R,2,KK,7/19/2017,0,60R,16,2,5,1,10/13/2017,2,86,63,149,106,69,0.315284933,2
AD3,2,KK,7/14/2017,0,6D6,18,2,4,0,,2,365,68,433,106,69,-0.059648501,2
AE5,1,KK,7/15/2017,0,7I8,21,2,6,0,,2,365,67,432,106,69,0.690218367,2
I182C4,2,KK,07/07/2017,0,2C4,22,2,4,1,1/24/2018,2,201,75,276,106,69,-0.059648501,2
6Z5,2,KK,07/04/2017,0,8I9,26,3,5,0,,2,365,78,443,106,69,0.315284933,2
AF6,1,KK,7/17/2017,0,3F5,27,3,6,0,,2,365,65,430,106,69,0.690218367,2
I189I8,1,KK,6/22/2017,0,9I8,28,3,2,1,12/01/2017,2,162,90,252,106,69,-0.809515369,2
I182F2,1,KK,06/11/2017,0,2F2,29,3,2,1,11/14/2017,2,156,101,257,106,69,-0.809515369,2
I1844V,1,KK,7/20/2017,0,44V,30,3,6,1,10/12/2017,2,84,62,146,106,69,0.690218367,2
8Z5,1,KK,07/08/2017,0,37V,33,3,6,0,,2,365,74,439,106,69,0.690218367,2
AE9,1,KK,7/23/2017,0,6L1,34,3,2,0,,2,365,59,424,106,69,-0.809515369,2
AE6,1,KK,06/10/2017,0,93O,35,3,6,0,,2,365,102,467,106,69,0.690218367,2
AF7,2,KK,07/01/2017,0,9H9,37,3,4,0,,2,365,81,446,106,69,-0.059648501,2
I183G3,1,KK,08/07/2017,0,3G3,38,3,4,1,10/23/2017,2,77,44,121,106,69,-0.059648501,2
2Z7,1,KK,07/05/2017,0,51V,39,3,5,0,,2,365,77,442,106,69,0.315284933,2
3Z2,1,KK,6/19/2017,0,0J5,41,3,3,0,,2,365,93,458,106,69,-0.434581935,2
I1825P,1,KK,7/22/2017,0,25P,42,3,3,1,10/05/2017,2,75,60,135,106,69,-0.434581935,2
9Y3,1,KK,07/07/2017,0,7F0,44,3,3,0,,2,365,75,440,106,69,-0.434581935,2
I181L1,2,KK,6/23/2017,0,1L1,48,3,4,1,10/30/2017,2,129,89,218,106,69,-0.059648501,2
3Z1,2,KK,7/26/2017,0,8O9,NA,,3,0,,2,365,56,421,106,69,-0.434581935,2
I181P4,2,KK,6/19/2017,0,1P4,NA,,3,1,10/05/2017,2,108,93,201,106,69,-0.434581935,2
I184P6,2,KK,07/08/2017,0,4P6,NA,,3,1,11/13/2017,2,128,74,202,106,69,-0.434581935,2
AI1,1,V,7/16/2017,0,00V,9,1,4,0,,2,365,66,431,111,50,0.913986057,2
I1853Z,2,V,07/02/2017,0,53Z,11,2,2,1,6/15/2018,2,348,80,428,111,50,-0.575472702,2
AG7,2,V,7/20/2017,0,1G1,12,2,3,0,,2,365,62,427,111,50,0.169256677,2
I1715E,2,V,11/28/2016,0,15E,13,2,2,1,9/28/2017,2,304,296,600,111,50,-0.575472702,2
I180K0,1,V,7/27/2017,0,0K0,14,2,2,1,2/23/2018,2,211,55,266,111,50,-0.575472702,2
AZ2,2,V,9/14/2017,0,2I3,19,2,3,0,,2,365,6,371,111,50,0.169256677,2
BA5,1,V,7/17/2017,0,2I3,19,2,3,0,,2,365,65,430,111,50,0.169256677,2
I1890T,1,V,7/14/2017,0,90T,26,3,4,1,03/01/2018,2,230,68,298,111,50,0.913986057,2
I182G3,2,V,08/10/2017,0,2G3,33,3,2,0,10/02/2018,2,365,41,406,111,50,-0.575472702,2
AH1,2,V,7/22/2017,0,4C5,40,3,4,0,7/15/2019,2,365,60,425,111,50,0.913986057,2
I185L8,1,V,9/14/2017,0,5L8,41,3,2,1,4/13/2018,2,211,6,217,111,50,-0.575472702,2
AH0,1,V,7/13/2017,0,3D9,42,3,2,0,,2,365,69,434,111,50,-0.575472702,2
I181I6,1,V,8/18/2017,0,1I6,44,3,4,0,11/14/2018,2,365,33,398,111,50,0.913986057,2
I182K1,1,V,09/07/2017,0,2K1,46,3,2,1,05/12/2018,2,247,13,260,111,50,-0.575472702,2
I181G4,2,V,06/10/2017,0,1G4,48,3,3,1,5/30/2018,2,354,102,456,111,50,0.169256677,2
3Y4,2,F,07/08/2017,0,5C0,3,1,8,0,,2,365,74,439,114,75,1.968506762,1
AA5,2,F,11/04/2016,0,04N,11,1,7,0,,2,365,320,685,114,75,1.471088386,1
I1861J,2,F,8/31/2017,0,61J,43,3,8,1,10/03/2017,2,33,20,53,114,75,1.968506762,1
AB1,2,F,8/31/2017,0,0A9,53,3,8,0,,2,365,20,385,114,75,1.968506762,1
2Y3,2,F,7/13/2017,0,29Z,62,3,9,0,,2,365,69,434,114,75,2.465925137,1
8X5,1,F,7/14/2017,0,2A2,69,3,7,0,,2,365,68,433,114,75,1.471088386,1
I188L3,1,KK,07/10/2017,0,8L3,2,1,12,1,11/15/2017,2,128,72,200,106,69,2.939818971,1
AE0,1,KK,06/05/2017,0,24V,3,1,7,0,,2,365,107,472,106,69,1.065151801,1
8Z6,1,KK,7/21/2017,0,2J7,5,1,10,0,,2,365,61,426,106,69,2.189952103,1
AG4,1,KK,6/18/2017,0,76J,9,1,10,0,,2,365,94,459,106,69,2.189952103,1
AE4,1,KK,7/19/2017,0,6C2,20,2,8,0,,2,365,63,428,106,69,1.440085235,1
AF3,2,KK,06/05/2017,0,6D9,23,2,8,0,,2,365,107,472,106,69,1.440085235,1
3Z4,1,KK,07/04/2017,0,6D4,36,3,7,0,,2,365,78,443,106,69,1.065151801,1
I180F0,1,V,08/04/2017,0,0F0,4,1,5,1,1/25/2018,2,174,47,221,111,50,1.658715436,1
I185L7,1,V,08/09/2017,0,5L7,28,3,5,1,11/03/2017,2,86,42,128,111,50,1.658715436,1
I1885T,2,V,8/14/2017,0,85T,47,3,5,0,11/29/2018,2,365,37,402,111,50,1.658715436,1
2Y6,1,F,09/07/2017,0,9D8,6,1,2,0,,2,365,13,378,114,75,-1.01600349,3
I180I6-1,2,F,6/15/2017,0,0I6,17,2,2,1,3/22/2018,2,280,97,377,114,75,-1.01600349,3
7Y6,2,F,8/16/2017,0,7D8,27,2,2,0,,2,365,35,400,114,75,-1.01600349,3
1Y0,1,F,08/09/2017,0,2A7,36,2,2,0,,2,365,42,407,114,75,-1.01600349,3
I185K1,1,F,07/05/2017,0,5K1,42,3,1,1,5/24/2018,2,323,77,400,114,75,-1.513421865,3
1Y7,2,F,7/13/2017,0,1L5,52,3,2,0,,2,365,69,434,114,75,-1.01600349,3
4Y1,1,F,7/15/2017,0,2J2,55,3,2,0,,2,365,67,432,114,75,-1.01600349,3
I1828J,2,F,6/24/2017,0,28J,67,3,2,1,12/14/2017,2,173,88,261,114,75,-1.01600349,3
8X6,1,F,7/13/2017,0,1K5,72,3,1,0,,2,365,69,434,114,75,-1.513421865,3
1Y1,2,F,8/22/2017,0,90P,NA,,1,0,,2,365,29,394,114,75,-1.513421865,3
AD9,1,KK,8/28/2017,0,6K6,17,2,1,0,,2,365,23,388,106,69,-1.184448803,3
3Z7,1,KK,7/19/2017,0,3F7,19,2,1,0,,2,365,63,428,106,69,-1.184448803,3
8Z3,2,KK,07/06/2017,0,2O7,44,3,1,0,,2,365,76,441,106,69,-1.184448803,3
2Z9,1,KK,7/18/2017,0,9L9,46,3,1,0,,2,365,64,429,106,69,-1.184448803,3
6Z3,2,KK,08/09/2017,0,1O7,NA,,1,0,,2,365,42,407,106,69,-1.184448803,3
2Z8,1,KK,07/01/2017,0,0Q5,NA,,1,0,,2,365,81,446,106,69,-1.184448803,3
I183R0,1,KK,08/01/2017,0,3R0,NA,,1,1,10/31/2017,2,91,50,141,106,69,-1.184448803,3
I189C1,2,V,09/07/2017,0,9C1,8,1,1,0,11/15/2018,2,365,13,378,111,50,-1.320202082,3
AZ9,1,V,08/01/2017,0,1I7,16,2,1,0,,2,365,50,415,111,50,-1.320202082,3
AH3,1,V,7/13/2017,0,7K8,22,2,1,0,,2,365,69,434,111,50,-1.320202082,3
I181I5,2,V,9/14/2017,0,1I5,31,3,1,1,09/01/2018,2,352,6,358,111,50,-1.320202082,3
3Z3,1,KK,7/27/2017,0,5M5,45,3,NA,0,,2,365,55,420,106,69,NA,
