AnimalID,Sex,Group,DOB,Age,Rank,Social,Survival,Time,Age_entry.days.,Age_event.days.,Group_size,Social_integration,Social_ord,Rank_ord
28J,2,F,3/19/1998,19,67,2,1,365,7125,7490,114,-0.726255841,average,3
29Z,2,F,12/15/2003,13,62,9,1,365,5028,5393,114,2.426262532,High,3
2A2,2,F,11/28/2004,12,69,7,1,365,4679,5044,114,1.525542997,High,3
2A5,2,F,01/01/2005,12,71,6,1,365,4645,5010,114,1.075183229,High,3
2H3,2,F,12/13/2008,8,41,6,1,365,3203,3568,114,1.075183229,High,3
2J2,2,F,09/07/2009,8,55,2,1,365,2935,3300,114,-0.726255841,average,3
2L5,2,F,9/19/2010,7,64,5,1,365,2558,2923,114,0.624823461,average,3
3 E7,2,F,11/10/2006,10,61,3,1,365,3967,4332,114,-0.275896074,average,3
36Z,2,F,01/12/2004,13,51,3,1,365,5000,5365,114,-0.275896074,average,3
3C3,2,F,10/30/2005,11,44,6,2,266,4343,4609,114,1.075183229,High,3
4C2,2,F,10/07/2005,11,50,5,1,365,4366,4731,114,0.624823461,average,3
52P,2,F,12/17/2000,16,70,3,1,365,6121,6486,114,-0.275896074,average,3
53E,2,F,02/12/1996,21,66,2,1,365,7891,8256,114,-0.726255841,average,3
55V,2,F,12/07/2003,13,37,3,1,365,5036,5401,114,-0.275896074,average,3
5G9,2,F,9/21/2008,8,65,3,1,365,3286,3651,114,-0.275896074,average,3
61J,2,F,3/13/1999,18,43,8,2,33,6766,6799,114,1.975902764,High,3
68V,2,F,01/03/2004,13,58,5,2,134,5009,5143,114,0.624823461,average,3
7B7,2,F,11/20/2005,11,48,1,1,365,4322,4687,114,-1.176615609,Low,3
8 E8,2,F,10/29/2007,9,46,2,1,365,3614,3979,114,-0.726255841,average,3
8F3,2,F,11/09/2007,9,73,3,1,365,3603,3968,114,-0.275896074,average,3
9A4,2,F,9/27/2004,12,60,3,1,365,4741,5106,114,-0.275896074,average,3
9G3,2,F,10/12/2008,8,63,3,2,336,3265,3601,114,-0.275896074,average,3
9I6,2,F,11/07/2009,7,56,4,1,365,2874,3239,114,0.174463694,average,3
00O,2,F,12/01/1999,17,29,5,1,365,6503,6868,114,0.624823461,average,2
0I6,2,F,01/05/2009,8,17,2,1,365,3180,3545,114,-0.726255841,average,2
0K7,2,F,10/03/2009,7,31,4,1,365,2909,3274,114,0.174463694,average,2
1L4,2,F,12/03/2010,6,35,3,1,365,2483,2848,114,-0.275896074,average,2
2A7,2,F,9/25/2004,12,36,2,1,365,4743,5108,114,-0.726255841,average,2
2A8,2,F,10/20/2004,12,26,3,1,365,4718,5083,114,-0.275896074,average,2
2J8,2,F,9/18/2009,8,19,3,1,365,2824,3189,114,-0.275896074,average,2
40L,2,F,12/26/1999,17,34,3,1,365,6478,6843,114,-0.275896074,average,2
50I,2,F,12/11/1997,19,32,5,1,365,7223,7588,114,0.624823461,average,2
59A,2,F,11/29/1992,24,20,8,1,365,9061,9426,114,1.975902764,High,2
5K3,2,F,09/10/2010,7,15,3,1,365,2567,2932,114,-0.275896074,average,2
5K7,2,F,10/04/2010,6,23,5,1,365,2543,2908,114,0.624823461,average,2
64P,2,F,12/11/2000,16,18,3,1,365,6127,6492,114,-0.275896074,average,2
79Z,2,F,11/21/2004,12,30,4,1,365,4686,5051,114,0.174463694,average,2
7C0,2,F,11/22/2005,11,22,3,1,365,4320,4685,114,-0.275896074,average,2
7D8,2,F,9/23/2006,10,27,2,1,365,4015,4380,114,-0.726255841,average,2
8B0,2,F,10/24/2005,11,25,9,2,219,4349,4568,114,2.426262532,High,2
8J8,2,F,12/10/2009,7,21,5,1,365,2841,3206,114,0.624823461,average,2
9H7,2,F,10/10/2008,8,33,5,1,365,3267,3632,114,0.624823461,average,2
0C6,2,F,12/20/2005,11,NA,1,1,365,4292,4657,114,-1.176615609,Low,
0J5,2,F,10/17/2009,7,NA,3,1,365,2895,3260,114,-0.275896074,average,
1 E0,2,F,11/06/2006,10,NA,1,1,365,3971,4336,114,-1.176615609,Low,
34Z,2,F,2/27/2004,13,NA,1,1,365,4954,5319,114,-1.176615609,Low,
42L,2,F,12/30/1999,17,NA,3,1,365,6474,6839,114,-0.275896074,average,
5D9,2,F,10/24/2006,10,NA,5,1,365,3984,4349,114,0.624823461,average,
6C2,2,F,10/06/2005,11,NA,8,1,365,4367,4732,114,1.975902764,High,
7C4,2,F,11/07/2005,11,NA,2,1,365,4335,4700,114,-0.726255841,average,
8H1,2,F,09/30/2008,8,NA,1,1,365,3277,3642,114,-1.176615609,Low,
8J0,2,F,9/23/2009,7,NA,1,1,365,2919,3284,114,-1.176615609,Low,
90P,2,F,11/12/2001,15,NA,1,1,365,5791,6156,114,-1.176615609,Low,
16R,1,KK,12/08/2001,15,3,2,2,208,5765,5973,106,-0.71529615,average,1
27J,1,KK,12/28/1997,19,5,3,2,252,7206,7458,106,-0.352538817,average,1
27N,1,KK,1/29/2000,17,4,7,1,365,6444,6809,106,1.098490516,High,1
56K,1,KK,01/08/1999,18,2,2,1,365,6830,7195,106,-0.71529615,average,1
94H,1,KK,1/16/1998,19,1,5,2,41,7187,7228,106,0.37297585,average,1
1M8,1,KK,10/04/2011,5,15,2,1,365,2178,2543,106,-0.71529615,average,3
2M4,1,KK,10/04/2011,5,16,0,1,365,2178,2543,106,-1.440810817,Low,3
3M3,1,KK,9/26/2011,5,17,1,1,365,2186,2551,106,-1.078053483,Low,3
5J3,1,KK,10/16/2009,7,21,1,1,365,2896,3261,106,-1.078053483,Low,3
5K0,1,KK,10/26/2010,6,22,1,1,365,2521,2886,106,-1.078053483,Low,3
6A9,1,KK,12/14/2004,12,14,4,2,56,4663,4719,106,0.010218516,average,3
6L3,1,KK,9/27/2010,6,18,0,1,365,2550,2915,106,-1.440810817,Low,3
6L4,1,KK,9/17/2010,7,19,1,1,365,2560,2925,106,-1.078053483,Low,3
8C9,1,KK,10/29/2006,10,23,3,1,365,3979,4344,106,-0.352538817,average,3
11Z,1,KK,11/12/2003,13,13,3,1,365,5061,5426,106,-0.352538817,average,2
46Z,1,KK,12/28/2004,12,7,3,1,365,4649,5014,106,-0.352538817,average,2
51J,1,KK,12/24/1998,18,9,3,2,125,6845,6970,106,-0.352538817,average,2
64S,1,KK,10/26/2002,14,11,1,2,55,5443,5498,106,-1.078053483,Low,2
73Z,1,KK,10/30/2004,12,8,2,1,365,4708,5073,106,-0.71529615,average,2
97Z,1,KK,11/01/2004,12,10,1,2,125,4706,4831,106,-1.078053483,Low,2
98Z,1,KK,11/21/2004,12,12,4,1,365,4686,5051,106,0.010218516,average,2
99L,1,KK,11/30/1999,17,6,3,2,167,6504,6671,106,-0.352538817,average,2
0G1,1,KK,11/17/2007,9,NA,1,1,365,3595,3960,106,-1.078053483,Low,
0L5,1,KK,10/13/2010,6,NA,1,1,365,2534,2899,106,-1.078053483,Low,
1J8,1,KK,10/28/2009,7,NA,10,1,365,2884,3249,106,2.186762516,High,
5J5,1,KK,01/10/2010,7,NA,5,1,365,2810,3175,106,0.37297585,average,
24V,2,KK,12/09/2003,13,3,7,1,365,5034,5399,106,1.098490516,High,1
2C3,2,KK,11/10/2005,11,7,2,1,365,4332,4697,106,-0.71529615,average,1
2J7,2,KK,09/07/2009,8,5,10,1,365,2935,3300,106,2.186762516,High,1
4F1,2,KK,10/16/2007,9,8,5,1,365,3627,3992,106,0.37297585,average,1
5H4,2,KK,09/10/2008,9,1,11,1,365,3297,3662,106,2.54951985,High,1
76J,2,KK,1/19/1999,18,9,10,1,365,6819,7184,106,2.186762516,High,1
8L3,2,KK,9/27/2010,6,2,12,1,365,2550,2915,106,2.912277183,High,1
1 E2,2,KK,10/17/2006,10,36,6,1,365,3991,4356,106,0.735733183,average,3
1C5,2,KK,10/22/2005,11,47,4,1,365,4351,4716,106,0.010218516,average,3
1C7,2,KK,11/23/2005,11,31,6,1,365,4319,4684,106,0.735733183,average,3
1L1,2,KK,9/26/2010,6,48,4,1,365,2551,2916,106,0.010218516,average,3
25P,2,KK,12/08/2000,16,42,3,2,29,6130,6159,106,-0.352538817,average,3
2F2,2,KK,11/19/2007,9,29,2,1,365,3595,3960,106,-0.71529615,average,3
37V,2,KK,11/15/2003,13,33,6,1,365,5058,5423,106,0.735733183,average,3
3F5,2,KK,12/08/2007,9,27,6,1,365,3574,3939,106,0.735733183,average,3
44V,2,KK,2/13/2004,13,30,6,1,365,4968,5333,106,0.735733183,average,3
49V,2,KK,11/15/2003,13,43,5,1,365,5058,5423,106,0.37297585,average,3
4M9,2,KK,9/21/2011,5,32,3,1,365,2191,2556,106,-0.352538817,average,3
51V,2,KK,10/29/2003,13,39,5,1,365,5075,5440,106,0.37297585,average,3
5M5,2,KK,09/01/2011,6,45,0,1,365,2211,2576,106,-1.440810817,Low,3
6D4,2,KK,10/14/2006,10,36,7,1,365,3994,4359,106,1.098490516,High,3
6L1,2,KK,09/09/2010,7,34,2,1,365,2568,2933,106,-0.71529615,average,3
7F0,2,KK,9/24/2007,9,44,3,1,365,3649,4014,106,-0.352538817,average,3
83Z,2,KK,12/16/2004,12,25,8,1,365,4661,5026,106,1.46124785,High,3
8I9,2,KK,9/21/2009,7,26,5,1,365,2921,3286,106,0.37297585,average,3
93O,2,KK,12/02/2000,16,35,6,1,365,6136,6501,106,0.735733183,average,3
9H9,2,KK,9/13/2008,9,37,4,1,365,3294,3659,106,0.010218516,average,3
9I8,2,KK,09/01/2009,8,28,2,1,365,2941,3306,106,-0.71529615,average,3
9L9,2,KK,10/27/2010,6,46,1,1,365,2520,2885,106,-1.078053483,Low,3
0K8,2,KK,11/21/2009,7,13,4,1,365,2860,3225,106,0.010218516,average,2
0M6,2,KK,08/09/2011,6,11,2,1,365,2234,2599,106,-0.71529615,average,2
2C4,2,KK,11/06/2005,11,22,4,1,365,4336,4701,106,0.010218516,average,2
3F7,2,KK,10/01/2007,9,19,1,1,365,3642,4007,106,-1.078053483,Low,2
4D8,2,KK,9/29/2006,10,10,2,1,365,4009,4374,106,-0.71529615,average,2
60R,2,KK,12/03/2001,15,16,5,1,365,5770,6135,106,0.37297585,average,2
6D6,2,KK,10/26/2006,10,18,4,1,365,3982,4347,106,0.010218516,average,2
6D9,2,KK,11/02/2006,10,23,8,1,365,3975,4340,106,1.46124785,High,2
6K6,2,KK,09/06/2010,7,17,1,1,365,2571,2936,106,-1.078053483,Low,2
6M7,2,KK,8/21/2011,6,24,2,1,365,2222,2587,106,-0.71529615,average,2
7I8,2,KK,09/03/2009,8,21,6,1,365,2939,3304,106,0.735733183,average,2
7J7,2,KK,9/19/2009,8,12,4,1,365,2823,3188,106,0.010218516,average,2
86Z,2,KK,10/19/2004,12,15,4,1,365,4719,5084,106,0.010218516,average,2
9N6,2,KK,10/24/2011,5,14,4,1,365,2158,2523,106,0.010218516,average,2
51Z,2,KK,11/01/2004,12,NA,3,1,365,4706,5071,106,-0.352538817,average,
7J8,2,KK,09/06/2009,8,NA,8,1,365,2936,3301,106,1.46124785,High,
0M1,1,V,9/20/2010,7,4,1,1,365,2557,2922,111,-0.87747374,average,1
12O,1,V,11/11/1999,17,10,4,1,365,6523,6888,111,0.970822011,average,1
18I,1,V,2/13/1998,19,8,0,2,125,7159,7284,111,-1.493572324,Low,1
2K3,1,V,9/29/2010,6,7,2,1,365,2548,2913,114,-0.726255841,average,1
2K4,1,V,9/28/2010,6,3,3,1,365,2549,2914,111,0.354723427,average,1
2K5,1,V,12/04/2010,6,6,2,1,365,2482,2847,111,-0.261375157,average,1
2K6,1,V,10/28/2010,6,5,3,1,365,2519,2884,111,0.354723427,average,1
51A,1,V,12/15/1992,24,1,3,2,28,9045,9073,111,0.354723427,average,1
61R,1,V,12/15/2001,15,2,2,1,365,5758,6123,111,-0.261375157,average,1
77I,1,V,1/13/1998,19,11,2,1,365,7190,7555,111,-0.261375157,average,1
81O,1,V,11/13/2000,16,9,2,1,365,6155,6520,111,-0.261375157,average,1
0C7,1,V,10/25/2005,11,42,0,1,365,4348,4713,111,-1.493572324,Low,3
0I9,1,V,9/23/2009,7,42,1,1,365,2919,3284,111,-0.87747374,average,3
0J4,1,V,9/16/2009,8,31,5,1,365,2926,3291,111,1.586920594,High,3
1D5,1,V,10/03/2006,10,54,0,2,106,4005,4111,111,-1.493572324,Low,3
1F2,1,V,11/18/2007,9,38,1,1,365,3594,3959,111,-0.87747374,average,3
2D0,1,V,10/23/2006,10,32,0,1,365,3985,4350,111,-1.493572324,Low,3
2F8,1,V,9/28/2007,9,40,1,2,215,3645,3860,114,-1.176615609,Low,3
2K0,1,V,11/01/2010,6,33,2,1,365,2515,2880,111,-0.261375157,average,3
36V,1,V,9/27/2003,13,44,2,1,365,5107,5472,114,-0.726255841,average,3
3I5,1,V,10/03/2009,7,52,1,1,365,2909,3274,111,-0.87747374,average,3
4G6,1,V,9/18/2008,9,55,2,1,365,3289,3654,111,-0.261375157,average,3
5B0,1,V,12/23/2005,11,37,4,1,365,4289,4654,111,0.970822011,average,3
5J1,1,V,9/24/2009,7,39,0,2,339,2918,3257,111,-1.493572324,Low,3
5K8,1,V,10/25/2010,6,34,0,1,365,2522,2887,111,-1.493572324,Low,3
5L4,1,V,12/09/2010,6,29,1,1,365,2477,2842,111,-0.87747374,average,3
60E,1,V,02/09/1996,21,47,0,2,48,7894,7942,111,-1.493572324,Low,3
6B8,1,V,11/16/2005,11,41,2,1,365,4326,4691,111,-0.261375157,average,3
73S,1,V,11/23/2002,14,51,0,1,365,5415,5780,111,-1.493572324,Low,3
7G1,1,V,9/23/2008,8,45,1,1,365,3284,3649,111,-0.87747374,average,3
8J3,1,V,9/18/2009,8,49,3,1,365,2824,3189,111,0.354723427,average,3
8K1,1,V,10/02/2010,6,28,2,1,365,2545,2910,111,-0.261375157,average,3
9 E3,1,V,11/27/2007,9,46,0,1,365,3585,3950,111,-1.493572324,Low,3
9I9,1,V,10/05/2009,7,30,2,2,87,2907,2994,111,-0.261375157,average,3
9K9,1,V,10/23/2010,6,36,1,1,365,2524,2889,111,-0.87747374,average,3
25R,1,V,12/09/2001,15,13,2,2,85,5764,5849,111,-0.261375157,average,2
32Z,1,V,2/14/2004,13,14,3,1,365,4967,5332,111,0.354723427,average,2
33T,1,V,12/07/2002,14,12,2,1,365,5401,5766,111,-0.261375157,average,2
3I6,1,V,10/03/2009,7,27,2,1,365,2909,3274,111,-0.261375157,average,2
3I9,1,V,10/16/2009,7,22,3,1,365,2896,3261,111,0.354723427,average,2
3J7,1,V,11/06/2009,7,15,3,2,286,2875,3161,111,0.354723427,average,2
3K1,1,V,10/14/2010,6,24,1,1,365,2533,2898,111,-0.87747374,average,2
4 E2,1,V,10/16/2007,9,16,2,1,365,3627,3992,111,-0.261375157,average,2
4G8,1,V,10/10/2008,8,23,2,1,365,3267,3632,111,-0.261375157,average,2
4K7,1,V,10/31/2010,6,26,1,1,365,2516,2881,111,-0.87747374,average,2
5 E6,1,V,10/01/2007,9,17,4,1,365,3642,4007,111,0.970822011,average,2
7L8,1,V,11/02/2010,6,21,0,1,365,2514,2879,111,-1.493572324,Low,2
04Z,1,V,02/10/2004,13,NA,3,1,365,4971,5336,111,0.354723427,average,
12Z,1,V,12/03/2003,13,NA,6,1,365,5040,5405,111,2.203019178,High,
4K2,1,V,10/16/2010,6,NA,1,1,365,2531,2896,111,-0.87747374,average,
7G2,1,V,11/07/2008,8,NA,7,1,365,3239,3604,111,2.819117762,High,
00V,2,V,12/14/2003,13,9,4,1,365,5029,5394,111,0.970822011,average,1
0F0,2,V,11/28/2007,9,4,5,2,135,3584,3719,111,1.586920594,High,1
0M3,2,V,10/25/2010,6,3,1,2,341,2522,2863,111,-0.87747374,average,1
0M4,2,V,10/10/2010,6,2,4,1,365,2537,2902,111,0.970822011,average,1
14E,2,V,12/13/1994,22,1,2,1,365,8317,8682,111,-0.261375157,average,1
1K1,2,V,10/07/2009,7,5,2,1,365,2905,3270,111,-0.261375157,average,1
2 E4,2,V,10/01/2006,10,7,4,1,365,4007,4372,111,0.970822011,average,1
5C6,2,V,11/21/2005,11,6,0,2,223,4321,4544,111,-1.493572324,Low,1
9C1,2,V,10/26/2006,10,8,1,1,365,3982,4347,111,-0.87747374,average,1
1B0,2,V,11/16/2004,12,37,3,1,365,4691,5056,111,0.354723427,average,3
1G0,2,V,10/18/2008,8,30,1,1,365,3259,3624,111,-0.87747374,average,3
1G4,2,V,9/16/2008,9,48,3,1,365,3291,3656,111,0.354723427,average,3
1I5,2,V,9/22/2009,7,31,1,1,365,2920,3285,111,-0.87747374,average,3
1I6,2,V,11/09/2009,7,44,4,1,365,2872,3237,111,0.970822011,average,3
1K2,2,V,10/27/2009,7,36,4,1,365,2885,3250,111,0.970822011,average,3
2G2,2,V,10/20/2008,8,29,2,1,365,3257,3622,111,-0.261375157,average,3
2G3,2,V,11/04/2008,8,33,2,1,365,3242,3607,111,-0.261375157,average,3
2K1,2,V,12/08/2010,6,46,2,1,365,2478,2843,111,-0.261375157,average,3
3D9,2,V,01/05/2007,10,42,2,1,365,3911,4276,111,-0.261375157,average,3
3H0,2,V,11/17/2008,8,38,3,1,365,3229,3594,111,0.354723427,average,3
47Z,2,V,10/08/2004,12,32,4,2,19,4730,4749,111,0.970822011,average,3
4C5,2,V,12/14/2005,11,40,4,1,365,4298,4663,111,0.970822011,average,3
4C9,2,V,11/20/2005,11,34,4,1,365,4322,4687,111,0.970822011,average,3
4J4,2,V,9/21/2009,7,27,2,1,365,2921,3286,111,-0.261375157,average,3
5L7,2,V,9/26/2010,6,28,1,1,365,2551,2916,111,-0.87747374,average,3
5L8,2,V,9/19/2010,7,41,2,2,351,2558,2909,111,-0.261375157,average,3
85T,2,V,10/31/2003,13,47,5,1,365,5073,5438,111,1.586920594,High,3
90T,2,V,11/15/2003,13,26,4,1,365,5058,5423,111,0.970822011,average,3
93T,2,V,11/16/2003,13,25,2,1,365,5059,5424,111,-0.261375157,average,3
98J,2,V,11/30/1998,18,45,3,2,29,6869,6898,111,0.354723427,average,3
0K0,2,V,10/14/2009,7,14,2,2,180,2989,3169,111,-0.261375157,average,2
13H,2,V,1/17/1997,20,15,2,2,83,7551,7634,111,-0.261375157,average,2
15E,2,V,1/30/1995,22,13,2,2,28,8269,8297,111,-0.261375157,average,2
1G1,2,V,11/03/2008,8,12,3,1,365,3243,3608,111,0.354723427,average,2
1G6,2,V,10/02/2008,8,20,3,2,350,3275,3625,111,0.354723427,average,2
1I7,2,V,09/12/2009,8,16,1,1,365,2930,3295,111,-0.87747374,average,2
2G4,2,V,12/03/2008,8,10,4,1,365,3213,3578,111,0.970822011,average,2
2I3,2,V,9/27/2009,7,19,3,1,365,2915,3280,111,0.354723427,average,2
5 E8,2,V,1/15/2008,9,21,3,1,365,3536,3901,111,0.354723427,average,2
52Z,2,V,10/24/2004,12,18,3,1,365,4714,5079,111,0.354723427,average,2
53Z,2,V,11/01/2004,12,11,2,1,365,4706,5071,111,-0.261375157,average,2
78I,2,V,12/15/1997,19,17,3,1,365,7219,7584,111,0.354723427,average,2
7K8,2,V,9/28/2010,6,22,1,1,365,2549,2914,111,-0.87747374,average,2
9 E8,2,V,1/24/2008,9,24,4,2,293,3527,3820,111,0.970822011,average,2
0I5,2,V,10/08/2008,8,NA,6,1,365,3269,3634,111,2.203019178,High,
5K1,2,V,09/29/2010,6,NA,1,1,365,2548,2913,111,-0.87747374,average,
63V,2,V,11/01/2003,13,NA,5,1,365,5072,5437,111,1.586920594,High,
78T,2,V,12/10/2002,14,NA,5,1,365,5398,5763,111,1.586920594,High,
82L,2,V,02/06/2000,17,NA,3,1,365,6436,6801,111,0.354723427,average,
