AnimalID,DOB,Sex,BirthGroup,BehaviorMom,Last Event,LastGroup,EventDate,Status,DamGen,SireGen,BirthSeason,DOD,DateTransfer
36,01/01/1955,m,U,81,,A,,Dead,,,1960,01/01/1961,
39,01/01/1955,m,U,EA,,E,,Dead,,,1960,01/01/1961,
03B,01/03/1993,f,F,?,nI,nI,01/01/1961,Dead,,,1955,06/01/1961,
03E,1/18/1995,f,F,DG,nC,nC,01/01/1960,Dead,,,1958,11/01/1961,
03G,04/04/1997,m,F,92,,A,,Dead,,,1960,11/01/1961,
03H,12/05/1996,f,R,?,nHH,HH,01/01/1961,Dead,,,1951,12/01/1961,
03J,12/22/1997,f,F,?,A,A,2/28/1961,Dead,,,1956,03/02/1961,
03N,11/26/1999,m,F,?,nF,F,01/01/1960,Dead,,,1953,03/03/1961,
03S,1/31/2002,f,S,?,nI,nI,01/01/1961,Dead,,,1944,03/03/1961,
40,01/01/1955,f,U,88,,C,,Dead,,,1960,01/04/1961,
42,01/01/1956,m,U,49,nHH,HH,01/01/1961,Dead,,,1960,09/05/1961,
44,01/01/1955,f,U,119,,A,,Dead,,,1961,03/07/1961,
45,01/01/1956,m,U,?,nA,nA,01/01/1960,Dead,,,1955,06/07/1961,
46,01/01/1953,f,U,?,nI,nI,01/01/1961,Dead,,,1955,05/09/1961,
47,01/01/1951,m,U,94,nCC,CC,01/01/1960,Dead,,,1959,10/10/1961,
48,01/01/1951,f,U,?,X,X,10/01/1961,Dead,,,1955,11/10/1961,
49,01/01/1954,f,U,?,nA,nA,01/01/1960,Dead,,,1955,05/12/1961,
04B,02/10/1993,m,F,AU,,C,,Dead,,,1961,10/12/1961,
04I,12/09/1997,m,F,120,,A,,Dead,,,1960,01/01/1962,
04O,11/14/1999,f,F,80,nHH,HH,01/01/1961,Dead,,,1959,02/01/1962,
50,01/01/1955,f,U,28,nC,nC,01/01/1960,Dead,,,1959,04/01/1962,
51,01/01/1955,f,U,38,,C,,Dead,,,1960,05/01/1962,
52,01/01/1954,m,U,AJ,,E,,Dead,,,1962,05/01/1962,
54,01/01/1951,f,U,R003,,A,,Dead,,,1962,06/01/1962,
56,01/01/1955,m,U,41,,A,,Dead,,,1962,10/01/1962,
05H,01/08/1997,m,C,S017,,H,,Dead,,,1961,10/01/1962,
05I,02/09/1998,m,F,120,,A,,Dead,,,1961,10/01/1962,
05J,03/11/1998,f,R,?,C,C,10/01/1961,Dead,,,1955,10/02/1962,
05L,2/25/1999,m,S,12,nA,nA,01/01/1960,Dead,,,1958,01/03/1962,
05O,01/07/2000,m,F,11,,A,,Dead,,,1962,03/03/1962,
05V,11/14/2003,f,F,88,,C,,Dead,,,1962,04/03/1962,
05Z,12/06/2003,m,KK,R010,,A,,Dead,,,1962,04/06/1962,
60,01/01/1951,m,U,117,,C,,Dead,,,1962,10/08/1962,
61,01/01/1954,f,U,AA,,I,,Dead,,,1962,10/09/1962,
62,01/01/1954,f,U,115,,E,,Dead,,,1961,08/10/1962,
63,01/01/1954,m,U,128,,E,,Dead,,,1961,05/11/1962,
64,01/01/1951,f,U,85,,A,,Dead,,,1962,09/11/1962,
65,01/01/1953,f,U,BL,,A,,Dead,,,1962,09/11/1962,
66,01/01/1951,m,U,46,,H,,Dead,,,1961,09/11/1962,
67,01/01/1956,f,U,?,nA,nA,01/01/1960,Dead,,,1955,09/12/1962,
68,01/01/1954,f,U,?,nC,nC,01/01/1960,Dead,,,1955,03/01/1963,
69,01/01/1955,f,U,EU,,A,,Dead,,,1963,06/01/1963,
06A,1/25/1992,f,S,?,C,C,09/01/1963,Dead,,,1944,10/01/1963,
06G,1/15/1997,m,F,EW,A,A,09/01/1960,Dead,,,1957,10/01/1963,
06Z,11/30/2003,f,KK,119,,A,,Dead,,,1960,02/04/1963,
70,01/01/1951,f,U,DT,,A,,Dead,,,1963,02/05/1963,
71,01/01/1956,f,U,104,,C,,Dead,,,1963,09/05/1963,
73,01/01/1951,f,U,40,C,C,8/29/1963,Dead,,,1959,10/05/1963,
76,01/01/1951,f,U,11,C,C,10/20/1961,Dead,,,1958,01/07/1963,
77,01/01/1955,m,U,EQ,,A,,Dead,,,1963,04/08/1963,
78,01/01/1951,f,U,BU,nC,nC,01/01/1960,Dead,,,1958,06/08/1963,
79,01/01/1954,m,U,BU,,C,,Dead,,,1962,11/08/1963,
07A,3/30/1992,f,F,?,nA,nA,01/01/1960,Dead,,,1955,04/09/1963,
07D,01/04/1995,m,R,CU,,H,,Dead,,,1963,04/09/1963,
07I,2/20/1998,m,V,BV,,A,,Dead,,,1961,01/10/1963,
07L,01/06/1999,f,R,?,nE,nE,01/01/1960,Dead,,,1944,12/11/1963,
07T,01/06/2003,m,R,?,nCC,CC,01/01/1960,Dead,,,1944,03/12/1963,
82,01/01/1951,m,U,70,,C,,Dead,,,1963,03/12/1963,
83,01/01/1951,f,U,94,,C,,Dead,,,1963,04/12/1963,
85,01/01/1955,f,U,74,,C,,Dead,,,1963,04/12/1963,
86,01/01/1955,m,U,BN,,A,,Dead,,,1961,06/12/1963,
87,01/01/1953,f,U,?,nA,nA,01/01/1960,Dead,,,1955,07/12/1963,
89,01/01/1951,m,U,102,C,C,09/01/1963,Dead,,,1959,01/01/1964,
08A,1/27/1992,m,R,RB,,A,,Dead,,,1963,09/01/1964,
08I,12/22/1997,f,F,49,,H,,Dead,,,1963,10/01/1964,
08N,11/20/1999,m,F,97,,H,,Dead,,,1963,04/03/1964,
08O,12/10/1999,m,R,R013,,A,,Dead,,,1962,09/04/1964,
08Z,10/01/2003,f,R,A,,H,,Dead,,,1964,05/05/1964,
91,01/01/1951,f,U,69,,A,,Dead,,,1960,03/06/1964,
92,01/01/1951,f,U,NF,,C,,Dead,,,1964,03/06/1964,
95,01/01/1955,m,U,102,,E,,Dead,,,1963,04/06/1964,
96,01/01/1955,m,U,BB,,C,,Dead,,,1964,07/07/1964,
97,01/01/1955,f,U,81,,A,,Dead,,,1963,08/07/1964,
09C,11/21/1993,m,R,?,A,A,09/01/1963,Dead,,,1955,03/08/1964,
09E,3/30/1995,f,F,HR,,C,,Dead,,,1964,05/08/1964,
09J,01/08/1998,m,F,90,,A,,Dead,,,1961,10/09/1964,
09L,12/22/1998,m,CC,AJ,,E,,Dead,,,1963,09/10/1964,
0A2,12/18/2004,f,R,129,,E,,Dead,,,1964,02/11/1964,
0B1,11/22/2004,m,KK,?,nA,nA,01/01/1960,Dead,,,1957,11/12/1964,
0B2,10/03/2004,f,S,?,nC,nC,01/01/1960,Dead,,,1944,10/01/1965,
0B3,12/04/2004,m,S,NH,,C,,Dead,,,1965,07/02/1965,
0B6,11/29/2004,f,KK,80,,H,,Dead,,,1965,08/04/1965,
0B7,05/09/2005,f,S,49,,H,,Dead,,,1961,01/05/1965,
0B8,11/28/2004,m,R,KA,,A,,Dead,,,1965,01/06/1965,
0D1,10/02/2006,f,R,?,nC,nC,01/01/1960,Dead,,,1955,03/06/1965,
0D3,9/23/2006,m,F,AE,E,E,9/30/1963,Dead,,,1959,04/06/1965,
0D4,10/11/2006,f,F,AU,,C,,Dead,,,1965,04/06/1965,
0D5,10/08/2006,f,S,KZ,,A,,Dead,,,1964,12/07/1965,
0.00E+00,10/16/2006,m,R,20,,A,,Dead,,,1965,04/09/1965,
0.00E+00,01/03/2007,f,F,EW,A,A,11/01/1965,Dead,,,1959,11/09/1965,
0.00E+00,9/15/2006,m,F,?,nC,nC,01/01/1960,Dead,,,1944,03/10/1965,
0F0,11/28/2007,f,V,KR,,C,,Dead,,,1965,12/10/1965,
0F4,10/29/2007,f,HH,93,nA,nA,01/01/1960,Dead,,,1959,10/11/1965,
0F6,9/30/2007,f,R,129,,E,,Dead,,,1966,03/01/1966,
0F7,10/30/2007,m,R,KS,,C,,Dead,,,1966,04/01/1966,
0G2,9/26/2007,f,R,EA,,E,,Dead,,,1962,06/02/1966,
0H0,11/11/2008,m,KK,AY,,A,,Dead,,,1966,02/03/1966,
0H4,10/09/2008,f,HH,?,nE,nE,01/01/1960,Dead,,,1944,03/03/1966,
0H9,10/04/2008,m,F,?,nA,nA,01/01/1960,Dead,,,1944,08/03/1966,
0I1,12/15/2008,m,HH,128,nE,nE,01/01/1960,Dead,,,1959,10/04/1966,
0J0,11/17/2009,m,R,75,,C,,Dead,,,1965,05/05/1966,
0J7,09/06/2009,f,S,IE,,C,,Dead,,,1966,05/05/1966,
0K0,10/14/2009,f,V,?,nC,nC,01/01/1960,Dead,,,1944,04/07/1966,
0L4,10/14/2010,m,R,BN,,A,,Dead,,,1965,05/07/1966,
0L6,9/21/2010,f,S,128,,E,,Dead,,,1966,07/07/1966,
0L7,10/30/2010,f,R,?,C,C,9/21/1964,Dead,,,1955,06/10/1966,
0M3,10/25/2010,f,V,62,,A,,Dead,,,1965,10/12/1966,
0M8,8/22/2011,m,KK,JM,,A,,Dead,,,1965,02/01/1967,
0N4,09/05/2011,f,V,EL,,C,,Dead,,,1966,03/01/1967,
0N6,8/30/2011,m,V,31,nA,nA,01/01/1960,Dead,,,1959,10/01/1967,
0O1,10/07/2012,m,F,HP,,A,,Dead,,,1965,11/01/1967,
0O4,09/12/2012,m,V,29,,C,,Dead,,,1963,08/02/1967,
0P3,8/29/2012,f,R,TR,,C,,Dead,,,1967,02/03/1967,
0R7,8/15/2013,f,KK,IN,,A,,Dead,,,1965,02/03/1967,
0S2,09/06/2013,f,V,X,,A,,Dead,,,1967,03/03/1967,
0T9,9/16/2014,f,R,37,,A,,Dead,,,1965,07/06/1967,
0U0,8/28/2014,m,S,59,A,A,01/01/1967,Dead,,,1959,06/07/1967,
0U3,7/31/2014,f,MM,60,A,A,9/20/1965,Dead,,,1957,09/07/1967,
0U5,8/16/2014,f,F,JR,,A,,Dead,,,1965,10/07/1967,
0U7,09/07/2014,f,S,IR,,E,,Dead,,,1966,03/09/1967,
0U8,10/06/2014,f,S,112,,C,,Dead,,,1963,10/09/1967,
0V6,8/13/2015,f,MM,?,nC,nC,01/01/1960,Dead,,,1956,04/10/1967,
0X2,7/25/2015,f,V,92,nJ,nJ,01/01/1965,Dead,,,1957,06/10/1967,
0X4,8/23/2015,f,MM,AE,,C,,Dead,,,1960,09/10/1967,
0X7,08/02/2015,m,HH,R013,,A,,Dead,,,1963,04/11/1967,
100,01/01/1956,f,U,JE,,A,,Dead,,,1967,04/11/1967,
101,01/01/1956,m,U,K,,F,,Dead,,,1966,08/11/1967,
103,01/01/1952,m,U,24,,E,,Dead,,,1962,01/01/1968,
104,01/01/1956,f,U,81,nA,nA,01/01/1960,Dead,,,1956,03/01/1968,
105,01/01/1956,f,U,UQ,,C,,Dead,,,1966,03/01/1968,
10A,3/31/1992,m,V,93,nA,nA,01/01/1960,Dead,,,1958,04/01/1968,
10C,1/19/1994,f,R,WT,,F,,Dead,,,1968,05/01/1968,
10D,01/09/1995,m,S,TN,,J,,Dead,,,1967,06/01/1968,
10K,1/14/1999,m,F,?,nC,nC,01/01/1960,Dead,,,1944,08/01/1968,
10R,12/24/2001,m,KK,JE,,A,,Dead,,,1968,08/01/1968,
10S,11/26/2001,f,F,76,C,C,08/03/1966,Dead,,,1962,08/01/1968,
10Z,12/07/2003,f,R,20,,A,,Dead,,,1961,11/01/1968,
110,01/01/1952,f,U,OA,,C,,Dead,,,1968,12/01/1968,
111,01/01/1956,f,U,?,nC,nC,01/01/1960,Dead,,,1944,01/02/1968,
113,01/01/1956,m,U,LI,,A,,Dead,,,1964,01/02/1968,
114,01/01/1956,f,U,AA,,I,,Dead,,,1967,06/03/1968,
115,01/01/1956,f,U,L,,C,,Dead,,,1964,09/03/1968,
116,01/01/1953,f,U,WF,,J,,Dead,,,1968,12/03/1968,
117,01/01/1952,f,U,BP,,A,,Dead,,,1968,04/04/1968,
118,01/01/1956,f,U,YN,,C,,Dead,,,1968,02/05/1968,
11B,12/22/1992,f,V,EW,,C,,Dead,,,1968,04/05/1968,
11F,3/18/1996,f,F,JI,,F,,Dead,,,1967,07/05/1968,
11I,11/21/1997,f,F,102,,E,,Dead,,,1962,02/06/1968,
11N,12/20/1999,f,F,HJ,,A,,Dead,,,1967,04/06/1968,
120,01/01/1955,f,U,?,nC,nC,01/01/1960,Dead,,,1954,05/06/1968,
121,01/01/1955,m,U,JP,,J,,Dead,,,1967,07/06/1968,
122,01/01/1955,f,U,78,nA,nA,01/01/1960,Dead,,,1959,10/07/1968,
123,01/01/1956,m,U,IS,,E,,Dead,,,1965,02/08/1968,
124,01/01/1955,m,U,RB,,A,,Dead,,,1965,04/08/1968,
125,01/01/1956,f,U,LV,,A,,Dead,,,1968,04/08/1968,
126,01/01/1955,m,U,69,,A,,Dead,,,1961,04/08/1968,
127,01/01/1955,m,U,CS,,I,,Dead,,,1965,07/08/1968,
128,01/01/1952,f,U,W,,F,,Dead,,,1965,07/08/1968,
129,01/01/1952,f,U,73,,F,,Dead,,,1961,07/08/1968,
12B,02/08/1993,f,V,NU,,I,,Dead,,,1966,07/08/1968,
12E,1/30/1995,m,F,49,,H,,Dead,,,1966,07/08/1968,
12F,2/24/1996,f,F,24,,E,,Dead,,,1963,07/08/1968,
12H,1/20/1997,f,R,X,,A,,Dead,,,1968,02/09/1968,
12T,12/22/2002,f,HH,NU,,I,,Dead,,,1968,04/09/1968,
130,01/01/1952,f,U,64,,A,,Dead,,,1966,04/09/1968,
13A,01/08/1992,f,V,?,nC,nC,01/01/1960,Dead,,,1955,09/09/1968,
13B,01/11/1993,f,V,TR,,C,,Dead,,,1968,04/10/1968,
13H,1/17/1997,f,V,BJ,,C,,Dead,,,1962,04/10/1968,
13I,3/23/1998,m,F,BU,,C,,Dead,,,1966,05/10/1968,
13J,12/04/1997,m,R,K,,F,,Dead,,,1967,07/11/1968,
13N,12/19/1999,m,F,LU,,E,,Dead,,,1967,07/11/1968,
14A,2/21/1992,m,V,UR,,E,,Dead,,,1967,07/11/1968,
14E,12/13/1994,f,V,S012,,E,,Dead,,,1967,07/11/1968,
14I,04/02/1998,f,F,EK,,F,,Dead,,,1967,07/11/1968,
14L,11/30/1998,f,F,KH,C,C,10/31/1967,Dead,,,1964,07/11/1968,
15B,1/29/1993,m,R,?,nA,nA,01/01/1960,Dead,,,1944,11/11/1968,
15E,1/30/1995,f,V,49,,H,,Dead,,,1967,02/12/1968,
15N,12/28/1999,m,F,105,,C,,Dead,,,1968,03/12/1968,
15O,12/16/1999,f,R,99,E,E,12/01/1963,Dead,,,1960,08/12/1968,
16C,02/03/1994,f,F,LA,,J,,Dead,,,1965,02/03/1969,
16E,02/03/1995,m,V,YL,,F,,Dead,,,1968,04/03/1969,
16N,01/07/2000,m,F,128,,E,,Dead,,,1964,06/03/1969,
16R,12/08/2001,m,S,4,,F,,Dead,,,1969,04/04/1969,
16T,11/22/2002,f,R,UI,,A,,Dead,,,1966,08/04/1969,
17B,11/21/1992,m,R,41,,A,,Dead,,,1964,02/05/1969,
17C,02/05/1994,f,F,22,,F,,Dead,,,1969,04/05/1969,
17D,1/30/1995,f,R,64,nA,nA,01/01/1960,Dead,,,1957,05/05/1969,
17G,1/27/1997,f,F,KH,,A,,Dead,,,1968,02/06/1969,
17T,11/28/2002,m,R,C7,,A,,Dead,,,1969,03/07/1969,
17Z,12/08/2003,m,S,X,,A,,Dead,,,1969,02/08/1969,
18B,12/14/1992,m,F,YB,,F,,Dead,,,1969,07/08/1969,
18C,3/19/1994,f,F,85,,A,,Dead,,,1960,09/08/1969,
18F,02/05/1996,f,F,62,nL,nL,11/10/1969,Dead,,,1968,12/08/1969,
18I,2/13/1998,m,F,69,,A,,Dead,,,1962,12/08/1969,
18J,11/22/1997,m,F,AT,J,J,8/30/1967,Dead,,,1956,01/09/1969,
18S,12/01/2001,m,R,K1,,F,,Dead,,,1969,04/10/1969,
19A,03/01/1992,f,F,119,,A,,Dead,,,1967,12/10/1969,
19E,02/06/1995,m,F,UV,,A,,Dead,,,1969,03/11/1969,
19O,2/14/2000,f,F,CU,K,K,11/10/1969,Dead,,,1958,11/12/1969,
19P,1/19/2001,m,R,A6,,J,,Dead,,,1970,04/01/1970,
1A,3/27/1967,f,F,IV,E,E,9/26/1968,Dead,,,1964,05/01/1970,
1A0,10/26/2004,m,F,IV,,A,,Dead,,,1970,07/01/1970,
1A4,12/09/2004,f,F,R8,,E,,Dead,,,1970,07/01/1970,
1A6,10/21/2004,m,F,64,F,F,10/02/1968,Dead,,,1959,10/01/1970,
1A7,9/30/2004,m,F,KZ,,A,,Dead,,,1962,02/02/1970,
1A9,10/28/2004,f,F,B1,,A,,Dead,,,1970,04/02/1970,
1B,3/18/1967,m,F,DL,,F,,Dead,,,1963,02/03/1970,
1B3,11/14/2004,f,V,?,A,A,09/01/1968,Dead,,,1956,12/03/1970,
1B6,10/25/2005,f,R,IN,,A,,Dead,,,1970,03/04/1970,
1C0,11/21/2005,f,F,31,nJ,nJ,01/01/1965,Dead,,,1961,03/04/1970,
1C6,10/30/2005,m,KK,114,,E,,Dead,,,1967,05/05/1970,
1D,2/28/1967,f,F,JP,,J,,Dead,,,1970,03/06/1970,
1D4,10/31/2006,m,F,OT,,F,,Dead,,,1970,04/06/1970,
1D5,10/03/2006,m,F,U3,,A,,Dead,,,1970,03/08/1970,
1D9,02/07/2007,m,R,R013,,A,,Dead,,,1960,09/08/1970,
1.00E+03,9/21/2006,f,F,K,,F,,Dead,,,1970,11/08/1970,
1F9,09/12/2007,m,R,ED,,E,,Dead,,,1970,02/09/1970,
1G2,10/26/2008,f,V,TW,E,E,08/04/1969,Dead,,,1966,10/09/1970,
1G3,10/29/2008,m,V,22,,F,,Dead,,,1970,01/10/1970,
1G6,10/02/2008,f,V,JR,,A,,Dead,,,1966,07/10/1970,
1H,01/09/1967,m,F,W,,F,,Dead,,,1969,01/12/1970,
1H8,11/08/2008,m,F,IS,,E,,Dead,,,1971,03/01/1971,
1I,04/12/1967,f,F,KS,E,E,10/06/1969,Dead,,,1964,04/01/1971,
1I0,08/10/2009,m,V,116,A,A,9/30/1971,Dead,,,1967,12/01/1971,
1I4,8/29/2009,m,V,AS,,A,,Dead,,,1971,12/01/1971,
1J,4/23/1966,m,I,AC,,F,,Dead,,,1968,04/02/1971,
1J1,11/19/2009,f,R,6G,,E,,Dead,,,1971,09/02/1971,
1J4,9/13/2009,f,KK,U3,,A,,Dead,,,1971,03/03/1971,
1K0,10/24/2009,f,F,129,,E,,Dead,,,1961,03/03/1971,
1K2,10/27/2009,f,V,XK,,K,,Dead,,,1970,10/03/1971,
1L6,12/01/2010,f,S,22,,F,,Dead,,,1965,03/04/1971,
1L9,12/11/2010,m,HH,AH,,H,,Dead,,,1971,04/05/1971,
1N0,9/24/2011,f,V,UV,,A,,Dead,,,1968,11/05/1971,
1O3,09/02/2012,m,R,OR,,A,,Dead,,,1970,11/05/1971,
1O7,10/08/2012,f,KK,XN,nL,nL,11/10/1969,Dead,,,1968,12/06/1971,
1O8,8/29/2012,m,R,F9,,E,,Dead,,,1970,01/07/1971,
1P0,10/09/2012,f,KK,N5,,H,,Dead,,,1970,07/07/1971,
1P2,09/11/2012,m,KK,122,A,A,09/11/1962,Dead,,,1959,08/08/1971,
1P3,09/05/2012,m,S,131,,E,,Dead,,,1960,05/11/1971,
1R0,09/05/2013,m,R,IN,,A,,Dead,,,1971,02/12/1971,
1T1,10/03/2014,m,HH,116,L,L,12/13/1971,Dead,,,1964,05/01/1972,
1T3,8/26/2014,f,HH,HP,I,I,12/13/1971,Dead,,,1966,10/02/1972,
1U2,09/04/2014,m,S,E3,,K,,Dead,,,1971,01/03/1972,
1U4,9/19/2014,m,S,FB,X,X,11/10/1971,Dead,,,1967,05/04/1972,
1U5,8/29/2014,f,S,?,nF,F,01/01/1960,Dead,,,1944,08/04/1972,
1U8,09/12/2014,f,V,DT,,L,,Dead,,,1972,08/04/1972,
1V4,8/28/2015,m,KK,AW,L,L,10/21/1971,Dead,,,1964,02/05/1972,
1V6,7/20/2015,m,R,AA,,I,,Dead,,,1963,03/06/1972,
1V7,12/05/2015,f,R,4,,F,,Dead,,,1964,09/06/1972,
1X5,10/29/2015,f,F,HJ,nK,nK,11/10/1969,Dead,,,1968,01/09/1972,
1X9,6/30/2015,m,HH,22,,F,,Dead,,,1972,02/09/1972,
201,5/31/1968,m,J,4,X,X,12/20/1971,Dead,,,1966,01/10/1972,
203,03/07/1968,m,A,WE,,I,,Dead,,,1968,02/10/1972,
20A,03/04/1992,m,F,WX,,F,,Dead,,,1972,02/10/1972,
20B,12/10/1992,m,F,9Q,,L,,Dead,,,1972,05/10/1972,
20C,03/01/1994,f,V,YF,X,X,5/26/1972,Dead,,,1967,07/10/1972,
20F,02/09/1996,f,F,73,,F,,Dead,,,1960,10/10/1972,
20J,1/14/1998,m,V,EL,L,L,08/01/1971,Dead,,,1965,10/11/1972,
20N,02/06/2000,f,F,WF,,J,,Dead,,,1971,12/12/1972,
20O,3/25/2000,m,F,WD,,I,,Dead,,,1970,02/01/1973,
20Z,11/24/2003,f,F,3R,,I,,Dead,,,1972,02/01/1973,
21B,12/24/1992,m,W,?,nJ,nJ,01/01/1965,Dead,,,1955,04/01/1973,
21C,01/02/1994,f,F,31,,J,,Dead,,,1973,04/01/1973,
21G,02/03/1997,f,F,65,J,J,09/11/1972,Dead,,,1962,11/02/1973,
21H,3/28/1997,f,F,286,,F,,Dead,,,1973,04/05/1973,
21I,1/23/1998,m,R,FB,,F,,Dead,,,1970,04/06/1973,
21K,11/14/1998,f,F,85,L,L,02/01/1973,Dead,,,1959,09/06/1973,
21L,12/05/1998,m,HH,YB,,F,,Dead,,,1973,04/07/1973,
21N,12/27/1999,f,F,DZ,,L,,Dead,,,1973,02/08/1973,
21P,12/22/2000,m,R,OE,L,L,09/11/1972,Dead,,,1969,03/09/1973,
21V,10/30/2003,f,KK,91,,I,,Dead,,,1964,02/10/1973,
22B,01/03/1993,f,F,DL,,F,,Dead,,,1970,07/10/1973,
22J,12/28/1997,m,F,92,nN,nN,10/01/1973,Dead,,,1965,10/10/1973,
22O,01/06/2000,m,V,397,,F,,Dead,,,1973,02/11/1973,
22R,10/27/2001,m,S,FH,,I,,Dead,,,1969,04/11/1973,
22S,11/17/2001,f,R,253,,I,,Dead,,,1973,04/11/1973,
22V,1/14/2004,m,KK,AA,,I,,Dead,,,1970,09/11/1973,
232,2/20/1969,m,I,R003,nL,nL,11/10/1969,Dead,,,1964,12/11/1973,
23B,12/25/1992,f,F,S009,X,X,07/01/1973,Dead,,,1965,09/12/1973,
23C,11/30/1993,m,F,EL,X,X,09/01/1973,Dead,,,1964,09/12/1973,
23H,1/27/1997,m,F,XJ,L,L,08/08/1972,Dead,,,1968,11/12/1973,
23J,3/17/1998,f,F,31,,J,,Dead,,,1969,04/01/1974,
23T,11/29/2002,m,R,7Q,,M,,Dead,,,1974,06/01/1974,
23V,10/22/2003,f,KK,22,,F,,Dead,,,1968,04/02/1974,
240,03/05/1969,f,J,JI,,M,,Dead,,,1974,05/04/1974,
245,3/25/1969,m,J,YB,,M,,Dead,,,1974,04/09/1974,
248,3/28/1969,m,J,FH,,I,,Dead,,,1974,02/11/1974,
249,04/02/1969,m,J,S,,L,,Dead,,,1974,03/12/1974,
24A,04/11/1992,m,R,503,,F,,Dead,,,1975,05/01/1975,
24B,01/08/1993,f,F,EK,,M,,Dead,,,1975,03/02/1975,
24C,03/01/1994,f,V,22,nM,nM,08/01/1973,Dead,,,1961,12/02/1975,
24I,01/06/1998,m,R,JI,nM,nM,08/01/1973,Dead,,,1965,03/03/1975,
24N,01/06/2000,m,V,YL,,F,,Dead,,,1973,06/04/1975,
24O,01/04/2000,f,V,FH,,I,,Dead,,,1975,03/05/1975,
24V,12/09/2003,f,KK,V7,,L,,Dead,,,1975,06/05/1975,
253,3/13/1969,f,I,9K,,J,,Dead,,,1975,07/05/1975,
258,02/05/1969,f,A,XN,,L,,Dead,,,1970,04/06/1975,
259,05/03/1969,f,A,4,J,J,12/01/1973,Dead,,,1970,02/07/1975,
